SeqID;Isolate_Id;Isolate_Name;subtype;Location;lat;lon;Host;Collection_Date;Animal_Specimen_Source;Animal_Health_Status;Domestic_Status;;
>EPI_ISL_11560233|A/Brent_goose/Netherlands/1/2022|A_/_H5N1;EPI_ISL_11560233;A/Brent_goose/Netherlands/1/2022;A / H5N1;Europe / Netherlands / Stroe, Waddenkust;;;Avian;2022-03-03;;;;;
>EPI_ISL_11798578|A/greylag_goose/Denmark/24309-1.01/2021-10-27|A_/_H5N1;EPI_ISL_11798578;A/greylag_goose/Denmark/24309-1.01/2021-10-27;A / H5N1;Europe / Denmark / Region Syddanmark / Faaborg-Midtfyn;;;Greylag goose;2021-10-27;;;;;
>EPI_ISL_1184516|A/common_teal/Russia_Primorje/113T/2020|A_/_H3N8;EPI_ISL_1184516;A/common_teal/Russia_Primorje/113T/2020;A / H3N8;Europe / Russian Federation / Primorje;;;Teal;2020-10-08;;;;;
>EPI_ISL_1184523|A/mallard/Novosibirsk_region/3344k/2020|A_/_H4N6;EPI_ISL_1184523;A/mallard/Novosibirsk_region/3344k/2020;A / H4N6;Europe / Russian Federation / Novosibirsk;;;Duck;2020-08-29;;;;;
>EPI_ISL_1184533|A/shoveler/Novosibirsk_region/3465k/2020|A_/_H3N8;EPI_ISL_1184533;A/shoveler/Novosibirsk_region/3465k/2020;A / H3N8;Europe / Russian Federation / Novosibirsk;;;Duck;2020-08-29;;;;;
>EPI_ISL_1184539|A/mallard/Novosibirsk_region/3265k/2020|A_/_H3N8;EPI_ISL_1184539;A/mallard/Novosibirsk_region/3265k/2020;A / H3N8;Europe / Russian Federation / Novosibirsk;;;Duck;2020-08-29;;;;;
>EPI_ISL_1219038|A/Chicken/Sweden/SVA210226SZ0168/KN048380-IP9/2021|A_/_H5N5;EPI_ISL_1219038;A/Chicken/Sweden/SVA210226SZ0168/KN048380-IP9/2021;A / H5N5;Europe / Sweden / Skane Lan / Lunds Kommun;;;Gallus gallus domesticus;2021-02-24;;;;;
>EPI_ISL_1219039|A/Chicken/Sweden/SVA210226SZ0168/KN048385/IP9-M-Hb/2021|A_/_H5N5;EPI_ISL_1219039;A/Chicken/Sweden/SVA210226SZ0168/KN048385/IP9-M-Hb/2021;A / H5N5;Europe / Sweden / Skane Lan / Lunds Kommun;;;Gallus gallus domesticus;2021-02-24;;;;;
>EPI_ISL_1225079|A/eurasian_curlew/Netherlands/21024069-002/2021|A_/_H5N4;EPI_ISL_1225079;A/eurasian_curlew/Netherlands/21024069-002/2021;A / H5N4;Europe / Netherlands / Provincie Friesland / Gemeente Harlingen;;;Eurasian curlew;2021-02-15;;;;;
>EPI_ISL_1235689|A/Chicken/Sweden/SVA210301SZ0001/KN049780-IP10/2021|A_/_H5N8;EPI_ISL_1235689;A/Chicken/Sweden/SVA210301SZ0001/KN049780-IP10/2021;A / H5N8;Europe / Sweden / Hallands Lan / Kungsbacka Kommun;;;Gallus gallus domesticus;2021-02-28;;;;;
>EPI_ISL_1235690|A/Chicken/Sweden/SVA210301SZ0001/KN049784/2021|A_/_H5N8;EPI_ISL_1235690;A/Chicken/Sweden/SVA210301SZ0001/KN049784/2021;A / H5N8;Europe / Sweden / Hallands Lan / Kungsbacka Kommun;;;Gallus gallus domesticus;2021-02-28;;;;;
>EPI_ISL_1236445|A/goose/Sweden/SVA210301SZ0005/KN049800/2021|A_/_H5N8;EPI_ISL_1236445;A/goose/Sweden/SVA210301SZ0005/KN049800/2021;A / H5N8;Europe / Sweden / Skane Lan / Landskrona Kommun;;;Anser anser domesticus;2021-02-27;;;;;
>EPI_ISL_1236901|A/goose/Sweden/SVA210301SZ0005/KN049802-IP11/2021|A_/_H5N8;EPI_ISL_1236901;A/goose/Sweden/SVA210301SZ0005/KN049802-IP11/2021;A / H5N8;Europe / Sweden / Skane Lan / Landskrona Kommun;;;Anser anser domesticus;2021-02-27;;;;;
>EPI_ISL_1238195|A/Chicken/Sweden/SVA210302SZ0564/KN052345-IP12/2021|A_/_H5N5;EPI_ISL_1238195;A/Chicken/Sweden/SVA210302SZ0564/KN052345-IP12/2021;A / H5N5;Europe / Sweden / Skane Lan / Trelleborgs Kommun;;;Gallus gallus;2021-03-02;;;;;
>EPI_ISL_1238304|A/Chicken/Sweden/SVA210302SZ0564/KN052346/2021|A_/_H5N5;EPI_ISL_1238304;A/Chicken/Sweden/SVA210302SZ0564/KN052346/2021;A / H5N5;Europe / Sweden / Skane Lan / Trelleborgs Kommun;;;Gallus gallus domesticus;2021-03-02;;;;;
>EPI_ISL_1239109|A/northern_goshawk/Sweden/SVA210224SZ0431/KN000626/2021|A_/_H5N8;EPI_ISL_1239109;A/northern_goshawk/Sweden/SVA210224SZ0431/KN000626/2021;A / H5N8;Europe / Sweden / Skane Lan / Kavlinge Kommun;;;Avian;2021-02-24;;;;;
>EPI_ISL_1240995|A/common_teal/Novosibirsk_region/3556k/2020|A_/_H3N8;EPI_ISL_1240995;A/common_teal/Novosibirsk_region/3556k/2020;A / H3N8;Europe / Russian Federation / Novosibirsk;;;Teal;2020-08-29;;;;;
>EPI_ISL_12514573|A/Song_Thrush/Netherlands/1/2022|A_/_H5N1;EPI_ISL_12514573;A/Song_Thrush/Netherlands/1/2022;A / H5N1;Europe / Netherlands / Wageningen;;;Avian;2022-04-13;;;;;
