SeqID;Isolate_Id;Isolate_Name;subtype;Location;lat;lon;Host;Collection_Date;Animal_Specimen_Source;Animal_Health_Status;Domestic_Status;;
>EPI_ISL_13370708|A/domestic_goose/England/019349/2022|A_/_H5N1;EPI_ISL_13370708;A/domestic_goose/England/019349/2022;A / H5N1;Europe / United Kingdom / England;;;Anser anser domesticus;2022-02-25;;;;;
>EPI_ISL_13370710|A/domestic_duck/England/019894/2022|A_/_H5N1;EPI_ISL_13370710;A/domestic_duck/England/019894/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-02-28;;;;;
>EPI_ISL_13370893|A/Little_gull/England/109275/2021|A_/_H5N1;EPI_ISL_13370893;A/Little_gull/England/109275/2021;A / H5N1;Europe / United Kingdom / England;;;Other avian;2021-12-24;;;;;
>EPI_ISL_13370907|A/mute_swan/Scotland/029918/2022|A_/_H5N1;EPI_ISL_13370907;A/mute_swan/Scotland/029918/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Cygnus olor;2022-03-07;;;;;
>EPI_ISL_13370908|A/mute_swan/Scotland/029919/2022|A_/_H5N1;EPI_ISL_13370908;A/mute_swan/Scotland/029919/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Cygnus olor;2022-03-07;;;;;
>EPI_ISL_13370909|A/chicken/Scotland/024309/2022|A_/_H5N1;EPI_ISL_13370909;A/chicken/Scotland/024309/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Gallus gallus domesticus;2022-03-09;;;;;
>EPI_ISL_13370910|A/domestic_duck/Scotland/024305/2022|A_/_H5N1;EPI_ISL_13370910;A/domestic_duck/Scotland/024305/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Anas platyrhynchos;2022-03-09;;;;;
>EPI_ISL_13370911|A/domestic_duck/England/025226/2022|A_/_H5N1;EPI_ISL_13370911;A/domestic_duck/England/025226/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-03-10;;;;;
>EPI_ISL_13370912|A/domestic_duck/England/025639/2022|A_/_H5N1;EPI_ISL_13370912;A/domestic_duck/England/025639/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-03-11;;;;;
>EPI_ISL_13370913|A/chicken/Scotland/029509/2022|A_/_H5N1;EPI_ISL_13370913;A/chicken/Scotland/029509/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Gallus gallus domesticus;2022-03-18;;;;;
>EPI_ISL_13370914|A/domestic_duck/England/029617/2022|A_/_H5N1;EPI_ISL_13370914;A/domestic_duck/England/029617/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-03-20;;;;;
>EPI_ISL_13370915|A/domestic_duck/England/032919/2022|A_/_H5N1;EPI_ISL_13370915;A/domestic_duck/England/032919/2022;A / H5N1;Europe / United Kingdom / England;;;Anas platyrhynchos;2022-03-26;;;;;
>EPI_ISL_13370916|A/chicken/England/033318/2022|A_/_H5N1;EPI_ISL_13370916;A/chicken/England/033318/2022;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2022-03-27;;;;;
>EPI_ISL_13370917|A/chicken/England/034820/2022|A_/_H5N1;EPI_ISL_13370917;A/chicken/England/034820/2022;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2022-03-28;;;;;
>EPI_ISL_13477015|A/chicken/Israel/88/2022|A_/_H5N1;EPI_ISL_13477015;A/chicken/Israel/88/2022;A / H5N1;Asia / Israel / Haifa District / Binyamina;;;Gallus gallus domesticus;2022-01-09;;;;;
>EPI_ISL_134862|A/muscovy_duck/Vietnam/LBM189/2012|A_/_H3N2;EPI_ISL_134862;A/muscovy_duck/Vietnam/LBM189/2012;A / H3N2;Asia / Vietnam;;;Cairina moschata;2012;;;;;
>EPI_ISL_13486831|A/Common_eider/England/023549/2022|A_/_H5N1;EPI_ISL_13486831;A/Common_eider/England/023549/2022;A / H5N1;Europe / United Kingdom / England;;;Somateria mollissima;2022-03-03;;;;;
>EPI_ISL_13486844|A/goose/Scotland/022633/2022|A_/_H5N1;EPI_ISL_13486844;A/goose/Scotland/022633/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Other avian;2022-03-02;;;;;
>EPI_ISL_13486857|A/goose/Scotland/022634/2022|A_/_H5N1;EPI_ISL_13486857;A/goose/Scotland/022634/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Other avian;2022-03-02;;;;;
>EPI_ISL_13486869|A/Greylag_goose/Scotland/024915/2022|A_/_H5N1;EPI_ISL_13486869;A/Greylag_goose/Scotland/024915/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Anser anser;2022-03-07;;;;;
>EPI_ISL_13486890|A/Mute_Swan/Wales/057697/2022|A_/_H5N1;EPI_ISL_13486890;A/Mute_Swan/Wales/057697/2022;A / H5N1;Europe / United Kingdom / Wales;;;Cygnus olor;2022-03-04;;;;;
>EPI_ISL_13609610|A/Great_white_pelican/Israel/123/2022|A_/_H5N1;EPI_ISL_13609610;A/Great_white_pelican/Israel/123/2022;A / H5N1;Asia / Israel / Haifa District / Ma'ayan Tzvi;;;Wild waterfowl;2022-01-12;;;;;
>EPI_ISL_13658359|A/common_kestel/Israel/49-2/2022|A_/_H5N1;EPI_ISL_13658359;A/common_kestel/Israel/49-2/2022;A / H5N1;Asia / Israel / Northern District / Agamon Hula;;;Falco tinnunculus;2022-01-02;;;;;
>EPI_ISL_1385792|A/Chicken/Sweden/SVA210323SZ001/KN001982-IP21/2021|A_/_H5N5;EPI_ISL_1385792;A/Chicken/Sweden/SVA210323SZ001/KN001982-IP21/2021;A / H5N5;Europe / Sweden / Stockholms Lan / Ekero Kommun;;;Gallus gallus domesticus;2021-03-22;;;;;
>EPI_ISL_1386128|A/Chiken/Sweden/SVA210321SZ0001/KN073551-IP20/2021|A_/_H5N8;EPI_ISL_1386128;A/Chiken/Sweden/SVA210321SZ0001/KN073551-IP20/2021;A / H5N8;Europe / Sweden / Skane Lan / Hassleholms Kommun;;;Gallus gallus domesticus;2021-03-21;;;;;
>EPI_ISL_1389398|A/northern_goshawk/Sweden/SVA210316SZ0489/KN001044/M/2021|A_/_H5N8;EPI_ISL_1389398;A/northern_goshawk/Sweden/SVA210316SZ0489/KN001044/M/2021;A / H5N8;Europe / Sweden / Skane Lan / Kavlinge Kommun;;;Other avian;2021-03-15;;;;;
>EPI_ISL_1390546|A/northern_goshawk/Sweden/SVA210316SZ0489/KN001045/M/2021|A_/_H5N8;EPI_ISL_1390546;A/northern_goshawk/Sweden/SVA210316SZ0489/KN001045/M/2021;A / H5N8;Europe / Sweden / Skane Lan / Lomma Kommun;;;Other avian;2021-03-15;;;;;
>EPI_ISL_1391019|A/common_golden_eye/Sweden/SVA210316SZ0489/KN001046/M/2021|A_/_H5N5;EPI_ISL_1391019;A/common_golden_eye/Sweden/SVA210316SZ0489/KN001046/M/2021;A / H5N5;Europe / Sweden / Skane Lan / Lomma Kommun;;;Bucephala clangula;2021-03-15;;;;;
>EPI_ISL_1391276|A/northern_goshawk/Sweden/SVA210318SZ0322/KN001092/M/2021|A_/_H5N5;EPI_ISL_1391276;A/northern_goshawk/Sweden/SVA210318SZ0322/KN001092/M/2021;A / H5N5;Europe / Sweden / Skane Lan / Simrishamns Kommun;;;Other avian;2021-02-19;;;;;
>EPI_ISL_139137|A/muscovy_duck/Vietnam/LBM198/2012|A_/_H6N2;EPI_ISL_139137;A/muscovy_duck/Vietnam/LBM198/2012;A / H6N2;Asia / Vietnam;;;Cairina moschata;2012-06-07;;;;;
>EPI_ISL_13969421|A/Pink-footed_Goose/Scotland/036871/2022|A_/_H5N1;EPI_ISL_13969421;A/Pink-footed_Goose/Scotland/036871/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Other avian;2022-03-26;;;;;
>EPI_ISL_13969423|A/Gull/Scotland/060376/2022|A_/_H5N1;EPI_ISL_13969423;A/Gull/Scotland/060376/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Other avian;2022-04-29;;;;;
>EPI_ISL_13984068|A/mallard/Ningxia/WZ44/2017(H10N7)|A_/_H10N7;EPI_ISL_13984068;A/mallard/Ningxia/WZ44/2017(H10N7);A / H10N7;Asia / China / Ningxia Hui Autonomous Region;;;Mallard;2017-03-07;;;;;
>EPI_ISL_13984069|A/mallard/Ningxia/WZ49/2017(H10N4)|A_/_H10N4;EPI_ISL_13984069;A/mallard/Ningxia/WZ49/2017(H10N4);A / H10N4;Asia / China / Ningxia Hui Autonomous Region;;;Mallard;2017-03-07;;;;;
>EPI_ISL_140706|A/wild_goose/Dongting/C1037/2011|A_/_H12N8;EPI_ISL_140706;A/wild_goose/Dongting/C1037/2011;A / H12N8;Asia / China;;;Goose;2011-11-10;;;;;
>EPI_ISL_14389148|A/Tachybaptus_ruficollis/Belgium/1234_0008/2022|A_/_H5N1;EPI_ISL_14389148;A/Tachybaptus_ruficollis/Belgium/1234_0008/2022;A / H5N1;Europe / Belgium / Provincie Vlaams-Brabant / Oud-Heverlee;;;Tachybaptus ruficollis;2022-01-24;;;;;
>EPI_ISL_14389524|A/Anser_anser_domesticus/Belgium/1668_0016/2022|A_/_H5N1;EPI_ISL_14389524;A/Anser_anser_domesticus/Belgium/1668_0016/2022;A / H5N1;Europe / Belgium / Provincie Vlaams-Brabant / Oud-Heverlee;;;Anser anser domesticus;2022-01-26;;;;;
>EPI_ISL_14390387|A/Anas_platyrhynchos/Belgium/2213_0006/2021|A_/_H8N4;EPI_ISL_14390387;A/Anas_platyrhynchos/Belgium/2213_0006/2021;A / H8N4;Europe / Belgium / Province de Namur / Reuleau;;;Mallard duck;2021-08-20;;;;;
>EPI_ISL_14392497|A/Anas_platyrhynchos/Belgium/2988_0002/2021|A_/_H7N7;EPI_ISL_14392497;A/Anas_platyrhynchos/Belgium/2988_0002/2021;A / H7N7;Europe / Belgium / Province de Hainaut / Casteau;;;Mallard duck;2021-12-08;;;;;
>EPI_ISL_14393671|A/Branta_canadensis/Belgium/5177_0003/2022|A_/_H5N1;EPI_ISL_14393671;A/Branta_canadensis/Belgium/5177_0003/2022;A / H5N1;Europe / Belgium / Province de Liege / Visé;;;Branta canadensis;2022-04-13;;;;;
>EPI_ISL_14393858|A/Anas_platyrhynchos/Belgium/2499_0006/2021_(MIXED)|A_/_H3;EPI_ISL_14393858;A/Anas_platyrhynchos/Belgium/2499_0006/2021_(MIXED);A / H3;Europe / Belgium / Province de Namur / Doyon;;;Mallard duck;2021-09-04;;;;;
>EPI_ISL_14493899|A/Vulpes_vulpes/Belgium/8660_0016/2022|A_/_H5N1;EPI_ISL_14493899;A/Vulpes_vulpes/Belgium/8660_0016/2022;A / H5N1;Europe / Belgium / Provincie Vlaams-Brabant / Kortenberg;;;Other mammals;2022-04-16;;;;;
>EPI_ISL_148220|A/greylag_goose/Iceland/1482/2011|A_/_H6N8;EPI_ISL_148220;A/greylag_goose/Iceland/1482/2011;A / H6N8;Europe / Iceland;;;Anser anser;2011-11-01;;;;;
>EPI_ISL_148221|A/greylag_goose/Iceland/0911/2011|A_/_H6N8;EPI_ISL_148221;A/greylag_goose/Iceland/0911/2011;A / H6N8;Europe / Iceland;;;Anser anser;2011-11-01;;;;;
>EPI_ISL_148222|A/greylag_goose/Iceland/0921/2011|A_/_H6N8;EPI_ISL_148222;A/greylag_goose/Iceland/0921/2011;A / H6N8;Europe / Iceland;;;Anser anser;2011-11-01;;;;;
>EPI_ISL_148224|A/greylag_goose/Iceland/0926/2011|A_/_H6N8;EPI_ISL_148224;A/greylag_goose/Iceland/0926/2011;A / H6N8;Europe / Iceland;;;Anser anser;2011-11-01;;;;;
>EPI_ISL_148228|A/greylag_goose/Iceland/0976/2011|A_/_H6N8;EPI_ISL_148228;A/greylag_goose/Iceland/0976/2011;A / H6N8;Europe / Iceland;;;Anser anser;2011-11-01;;;;;
>EPI_ISL_148229|A/greylag_goose/Iceland/0980/2011|A_/_H6N8;EPI_ISL_148229;A/greylag_goose/Iceland/0980/2011;A / H6N8;Europe / Iceland;;;Anser anser;2011-11-01;;;;;
>EPI_ISL_148230|A/pink-footed_goose/Iceland/0987/2011|A_/_H6N8;EPI_ISL_148230;A/pink-footed_goose/Iceland/0987/2011;A / H6N8;Europe / Iceland;;;Anser brachyrhynchus;2011-11-01;;;;;
>EPI_ISL_14853905|A/garganey/Chany_Lake/211/2014|A_/_H14N9;EPI_ISL_14853905;A/garganey/Chany_Lake/211/2014;A / H14N9;Europe / Russian Federation / Novosibirsk Oblast;;;Anas querquedula;2014-08-24;;;;;
>EPI_ISL_14854178|A/garganey/Chany_Lake/210/2014|A_/_H14N9;EPI_ISL_14854178;A/garganey/Chany_Lake/210/2014;A / H14N9;Europe / Russian Federation / Novosibirsk Oblast;;;Anas querquedula;2014-08-24;;;;;
>EPI_ISL_14864638|A/fox/England/M0083-03-22/2022|A_/_H5N1;EPI_ISL_14864638;A/fox/England/M0083-03-22/2022;A / H5N1;Europe / United Kingdom / England;;;Other mammals;2022-03-09;;;;;
>EPI_ISL_14864640|A/fox/England/M0025-12-21/2021|A_/_H5N1;EPI_ISL_14864640;A/fox/England/M0025-12-21/2021;A / H5N1;Europe / United Kingdom / England;;;Other mammals;2021-12-07;;;;;
>EPI_ISL_14985602|A/white-tailed_eagle/Sweden/SVA220629SZ0296/FB002045/I-2022|A_/_H5N1;EPI_ISL_14985602;A/white-tailed_eagle/Sweden/SVA220629SZ0296/FB002045/I-2022;A / H5N1;Europe / Sweden / Gotlands Lan / Gotlands Kommun;;;Halietus albicilla;2022-05-24;;;;;
>EPI_ISL_14989784|A/mallard/Netherlands/22014777-004/2022|A_/_H3N2;EPI_ISL_14989784;A/mallard/Netherlands/22014777-004/2022;A / H3N2;Europe / Netherlands / Provincie Noord-Holland;;;Anas platyrhynchos;2022-08-28;;;;;
>EPI_ISL_15364791|A/Mallard/Netherlands/10/2022|A_/_H5N2;EPI_ISL_15364791;A/Mallard/Netherlands/10/2022;A / H5N2;Europe / Netherlands / Hippolytushoef, Mulders Eendenkooi;;;Avian;2022-09-11;;;;;
>EPI_ISL_15579541|A/Mallard/Netherlands/16/2022|A_/_H5N3;EPI_ISL_15579541;A/Mallard/Netherlands/16/2022;A / H5N3;Europe / Netherlands / Eendenkooi Wieringen;;;Avian;2022-09-21;;;;;
>EPI_ISL_15581788|A/Common_Teal/Netherlands/2.1/2022|A_/_H5N2;EPI_ISL_15581788;A/Common_Teal/Netherlands/2.1/2022;A / H5N2;Europe / Netherlands / Eendenkooi Wieringen;;;Avian;2022-10-12;;;;;
>EPI_ISL_15581793|A/Mallard/Netherlands/23/2022|A_/_H5N2;EPI_ISL_15581793;A/Mallard/Netherlands/23/2022;A / H5N2;Europe / Netherlands / Hippolytushoef, Mulders Eendenkooi;;;Avian;2022-10-11;;;;;
>EPI_ISL_15585751|A/Chicken/England/128321/2022|A_/_H5N1;EPI_ISL_15585751;A/Chicken/England/128321/2022;A / H5N1;Europe / United Kingdom / England;;;Chicken;2022-10-07;;;;;
>EPI_ISL_15585865|A/chicken/England/124798/2022|A_/_H5N1;EPI_ISL_15585865;A/chicken/England/124798/2022;A / H5N1;Europe / United Kingdom / England;;;Chicken;2022-09-30;;;;;
>EPI_ISL_15585886|A/chicken/England/133051/2022|A_/_H5N1;EPI_ISL_15585886;A/chicken/England/133051/2022;A / H5N1;Europe / United Kingdom / England;;;Chicken;2022-10-16;;;;;
>EPI_ISL_15585893|A/domestic_goose/England/125496/2022|A_/_H5N1;EPI_ISL_15585893;A/domestic_goose/England/125496/2022;A / H5N1;Europe / United Kingdom / England;;;Domestic goose;2022-10-03;;;;;
>EPI_ISL_15585904|A/pheasant/England/132162/2022|A_/_H5N1;EPI_ISL_15585904;A/pheasant/England/132162/2022;A / H5N1;Europe / United Kingdom / England;;;Pheasant;2022-09-05;;;;;
>EPI_ISL_15586111|A/Domestic_Duck/England/128721/2022|A_/_H5N1;EPI_ISL_15586111;A/Domestic_Duck/England/128721/2022;A / H5N1;Europe / United Kingdom / England;;;Duck;2022-10-08;;;;;
>EPI_ISL_15586117|A/Whistling_Duck/England/128441/2022|A_/_H5N1;EPI_ISL_15586117;A/Whistling_Duck/England/128441/2022;A / H5N1;Europe / United Kingdom / England;;;Duck;2022-10-07;;;;;
>EPI_ISL_15586124|A/domestic_duck/England/125290/2022|A_/_H5N1;EPI_ISL_15586124;A/domestic_duck/England/125290/2022;A / H5N1;Europe / United Kingdom / England;;;Duck;2022-09-20;;;;;
>EPI_ISL_15925877|A/Common_Teal/Netherlands/4/2022|A_/_H5N2;EPI_ISL_15925877;A/Common_Teal/Netherlands/4/2022;A / H5N2;Europe / Netherlands / Eendenkooi, Wieringen;;;Avian;2022-11-01;;;;;
>EPI_ISL_16549245|A/Otus_scops/Belgium/13463-0002/2022|A_/_H5N1;EPI_ISL_16549245;A/Otus_scops/Belgium/13463-0002/2022;A / H5N1;Europe / Belgium / Province de Liege / Lontzen;;;Other avian;2022-11-21;;;;;
>EPI_ISL_16574488|A/chicken/England/171595/2022|A_/_H5N1;EPI_ISL_16574488;A/chicken/England/171595/2022;A / H5N1;Europe / United Kingdom / England;;;Chicken;2022-12-20;;;;;
>EPI_ISL_16676487|A/Cygnus_olor/Belgium/10811-0003/2022|A_/_H5N1;EPI_ISL_16676487;A/Cygnus_olor/Belgium/10811-0003/2022;A / H5N1;Europe / Belgium / Provincie West-Vlaanderen / Sint-Andries;;;Cygnus olor;2022-09-16;;;;;
>EPI_ISL_16810698|A/Bubo_bubo/Belgium/09467_0001/2022|A_/_H5N1;EPI_ISL_16810698;A/Bubo_bubo/Belgium/09467_0001/2022;A / H5N1;Europe / Belgium / Provincie Limburg / Heusden-Zolder;;;Wild bird;2022-07-18;;;;;
>EPI_ISL_16881186|A/Common_gull/Netherlands/1/2023|A_/_H5N1;EPI_ISL_16881186;A/Common_gull/Netherlands/1/2023;A / H5N1;Europe / Netherlands / Maastricht, Maas;;;Avian;2023-01-18;;;;;
>EPI_ISL_16904553|A/Harbour_Seal/Scotland/162919/2022|A_/_H5N1;EPI_ISL_16904553;A/Harbour_Seal/Scotland/162919/2022;A / H5N1;Europe / United Kingdom / Scotland;;;Seal;2022-03-12;;;;;
>EPI_ISL_16956028|A/Harris_Hawk/Scotland/014071/2023|A_/_H5N1;EPI_ISL_16956028;A/Harris_Hawk/Scotland/014071/2023;A / H5N1;Europe / United Kingdom / Scotland;;;Other avian;2023-01-24;;;;;
>EPI_ISL_16997727|A/mallard/Denmark/09179-5/2022|A_/_H5N2;EPI_ISL_16997727;A/mallard/Denmark/09179-5/2022;A / H5N2;Europe / Denmark / Region Syddanmark / Svendborg Kommune;;;Mallard;2022-10-20;;;;;
>EPI_ISL_17071430|A/Branta_canadensis/Belgium/10393_0025/2022|A_/_H5N1;EPI_ISL_17071430;A/Branta_canadensis/Belgium/10393_0025/2022;A / H5N1;Europe / Belgium / Provincie West-Vlaanderen / Knokke-Heist;;;Branta canadensis;2022-08-28;;;;;
>EPI_ISL_17245142|A/Gallus_gallus/Belgium/01688_0004/2023|A_/_H5N1;EPI_ISL_17245142;A/Gallus_gallus/Belgium/01688_0004/2023;A / H5N1;Europe / Belgium / Provincie Oost-Vlaanderen / Baardegem;;;Gallus gallus;2023-02-23;;;;;
>EPI_ISL_17246921|A/Mustela_putorius/Belgium/01922_0001/2023|A_/_H5N1;EPI_ISL_17246921;A/Mustela_putorius/Belgium/01922_0001/2023;A / H5N1;Europe / Belgium / Provincie Limburg / Heusden-Zolder;;;Other mammals;2023-03-02;;;;;
>EPI_ISL_17512128|A/mute_swan/Austria/22155612/2022|A_/_H5N1;EPI_ISL_17512128;A/mute_swan/Austria/22155612/2022;A / H5N1;Europe / Austria / Bundesland Wien / Vienna;;;Swan;2022-12-28;;;;;
>EPI_ISL_17514173|A/black-headed_gull/Austria/23010977-001/2023|A_/_H5N1;EPI_ISL_17514173;A/black-headed_gull/Austria/23010977-001/2023;A / H5N1;Europe / Austria / Bundesland Wien / Vienna;;;Gull;2023-01-30;;;;;
>EPI_ISL_17514178|A/black-headed_gull/Austria/23036780-003/2023|A_/_H5N1;EPI_ISL_17514178;A/black-headed_gull/Austria/23036780-003/2023;A / H5N1;Europe / Austria / Bundesland Wien / Vienna;;;Larus ridibundus;2023-03-20;;;;;
>EPI_ISL_17529369|A/duck/Egypt/BA20360C/2022|A_/_H5N1;EPI_ISL_17529369;A/duck/Egypt/BA20360C/2022;A / H5N1;Africa / Egypt;;;Duck;2022-03-30;;;;;
>EPI_ISL_17529370|A/duck/Egypt/BA20360OP/2022|A_/_H5N1;EPI_ISL_17529370;A/duck/Egypt/BA20360OP/2022;A / H5N1;Africa / Egypt;;;Duck;2022-03-30;;;;;
>EPI_ISL_17529371|A/duck/Egypt/BA20361OP/2022|A_/_H5N1;EPI_ISL_17529371;A/duck/Egypt/BA20361OP/2022;A / H5N1;Africa / Egypt;;;Duck;2022-03-30;;;;;
>EPI_ISL_17529372|A/duck/Egypt/RA19853OP/2021|A_/_H5N1;EPI_ISL_17529372;A/duck/Egypt/RA19853OP/2021;A / H5N1;Africa / Egypt;;;Duck;2021-12-15;;;;;
>EPI_ISL_17716087|A/mute_swan/Austria/23026929-001/2023|A_/_H5N1;EPI_ISL_17716087;A/mute_swan/Austria/23026929-001/2023;A / H5N1;Europe / Austria / Lower Austria / Tulln;;;Swan;2023-03-02;;;;;
>EPI_ISL_17785730|A/mute_swan/Austria/21155360-001/2021|A_/_H5N1;EPI_ISL_17785730;A/mute_swan/Austria/21155360-001/2021;A / H5N1;Europe / Austria / Bundesland Wien / Bundesland Wien;;;Swan;2021-12-15;;;;;
>EPI_ISL_17950995|A/domestic_cat/Poland/H249/2023|A_/_H5N1;EPI_ISL_17950995;A/domestic_cat/Poland/H249/2023;A / H5N1;Europe / Poland / Pomeranian Voivodeship / Gdansk;;;Felis catus;2023-06-22;;;;;
>EPI_ISL_17951055|A/domestic_cat/Poland/H247/2023|A_/_H5N1;EPI_ISL_17951055;A/domestic_cat/Poland/H247/2023;A / H5N1;Europe / Poland / Pomeranian Voivodeship / Gdansk;;;Felis catus;2023-06-20;;;;;
>EPI_ISL_17956379|A/domestic_cat/Poland/H255-M/2023|A_/_H5N1;EPI_ISL_17956379;A/domestic_cat/Poland/H255-M/2023;A / H5N1;Europe / Poland / Pomeranian Voivodeship / Pruszcz Gdanski;;;Felis catus;2023-06-21;;;;;
>EPI_ISL_17971989|A/domestic_cat/Poland/H255-M/2023|A_/_H5N1;EPI_ISL_17971989;A/domestic_cat/Poland/H255-M/2023(H5N1);A / H5N1;Europe / Poland / Pomeranian Voivodeship;;;Felis catus;2023-06-21;;;;;
>EPI_ISL_17971990|A/domestic_cat/Poland/H256-G/2023|A_/_H5N1;EPI_ISL_17971990;A/domestic_cat/Poland/H256-G/2023(H5N1);A / H5N1;Europe / Poland / Lublin Voivodeship / Lublin;;;Felis catus;2023-06-24;;;;;
>EPI_ISL_17971994|A/domestic_cat/Poland/H267-W/2023|A_/_H5N1;EPI_ISL_17971994;A/domestic_cat/Poland/H267-W/2023(H5N1);A / H5N1;Europe / Poland / Lower Silesian Voivodeship;;;Felis catus;2023-06-25;;;;;
>EPI_ISL_17971996|A/domestic_cat/Poland/H271-W/2023|A_/_H5N1;EPI_ISL_17971996;A/domestic_cat/Poland/H271-W/2023(H5N1);A / H5N1;Europe / Poland / Lublin Voivodeship / Lublin;;;Felis catus;2023-06-25;;;;;
>EPI_ISL_17971998|A/domestic_cat/Poland/H264-G/2023|A_/_H5N1;EPI_ISL_17971998;A/domestic_cat/Poland/H264-G/2023(H5N1);A / H5N1;Europe / Poland / Greater Poland Voivodeship / Poznan;;;Felis catus;2023-06-26;;;;;
>EPI_ISL_17978700|A/white_stork/Poland/MB244/2023|A_/_H5N1;EPI_ISL_17978700;A/white_stork/Poland/MB244/2023;A / H5N1;Europe / Poland / Lesser Poland Voivodeship;;;Avian;2023-06-04;;;;;
>EPI_ISL_18001816|A/Greylag_goose/Iceland/2023AI04239/2022|A_/_H5N1;EPI_ISL_18001816;A/Greylag_goose/Iceland/2023AI04239/2022;A / H5N1;Europe / Iceland;;;Anser anser;2022-04-19;;;;;
>EPI_ISL_18032445|A/mute_swan/Poland/MB095-L1M/2023|A_/_H5N1;EPI_ISL_18032445;A/mute_swan/Poland/MB095-L1M/2023;A / H5N1;Europe / Poland / Greater Poland Voivodeship;;;Cygnus olor;2023-02-14;;;;;
>EPI_ISL_18033161|A/mute_swan/Poland/MB268-TKL/2022|A_/_H5N1;EPI_ISL_18033161;A/mute_swan/Poland/MB268-TKL/2022;A / H5N1;Europe / Poland;;;Swan;2022-12-25;;;;;
>EPI_ISL_18033408|A/caracal/Poland/H303-P/2023|A_/_H5N1;EPI_ISL_18033408;A/caracal/Poland/H303-P/2023;A / H5N1;Europe / Poland;;;Feline;2023-06-17;;;;;
>EPI_ISL_18033409|A/domestic_cat/Poland/H275k3-M/2023|A_/_H5N1;EPI_ISL_18033409;A/domestic_cat/Poland/H275k3-M/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_18033410|A/domestic_cat/Poland/H293-N/2023|A_/_H5N1;EPI_ISL_18033410;A/domestic_cat/Poland/H293-N/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_18033411|A/domestic_cat/Poland/H299-N/2023|A_/_H5N1;EPI_ISL_18033411;A/domestic_cat/Poland/H299-N/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_18033412|A/domestic_cat/Poland/H304-M1/2023|A_/_H5N1;EPI_ISL_18033412;A/domestic_cat/Poland/H304-M1/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_18033413|A/domestic_cat/Poland/H304-M2/2023|A_/_H5N1;EPI_ISL_18033413;A/domestic_cat/Poland/H304-M2/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_18033416|A/domestic_cat/Poland/H320-M/2023|A_/_H5N1;EPI_ISL_18033416;A/domestic_cat/Poland/H320-M/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_18033418|A/domestic_cat/Poland/H322-M/2023|A_/_H5N1;EPI_ISL_18033418;A/domestic_cat/Poland/H322-M/2023;A / H5N1;Europe / Poland;;;Felis catus;2023;;;;;
>EPI_ISL_181117|A/muscovy_duck/Vietnam/LBM201/2012|A_/_H3N2;EPI_ISL_181117;A/muscovy_duck/Vietnam/LBM201/2012;A / H3N2;Asia / Vietnam;;;Cairina moschata;2012-07-11;;;;;
>EPI_ISL_18285997|A/Mallard/Netherlands/2/2023|A_/_H5N1;EPI_ISL_18285997;A/Mallard/Netherlands/2/2023;A / H5N1;Europe / Netherlands / Eendenkooi Wieringen;;;Avian;2023-08-28;;;;;
>EPI_ISL_18408300|A/duck/Bangladesh/CEIRS-56791/2023|A_/_H1N7;EPI_ISL_18408300;A/duck/Bangladesh/CEIRS-56791/2023;A / H1N7;Asia / Bangladesh;;;Duck;2023-02-18;;;;;
>EPI_ISL_18408301|A/duck/Bangladesh/CEIRS-56755/2023|A_/_H1N7;EPI_ISL_18408301;A/duck/Bangladesh/CEIRS-56755/2023;A / H1N7;Asia / Bangladesh;;;Duck;2023-02-18;;;;;
>EPI_ISL_18408317|A/duck/Bangladesh/CEIRS-56746/2023|A_/_H1N7;EPI_ISL_18408317;A/duck/Bangladesh/CEIRS-56746/2023;A / H1N7;Asia / Bangladesh;;;Duck;2023-02-18;;;;;
>EPI_ISL_18408318|A/duck/Bangladesh/CEIRS-56731/2023|A_/_H1N7;EPI_ISL_18408318;A/duck/Bangladesh/CEIRS-56731/2023;A / H1N7;Asia / Bangladesh;;;Duck;2023-02-18;;;;;
