SeqID;Isolate_Id;Isolate_Name;;Location;lat;lon;Host;Collection_Date;;;
>EPI_ISL_14389203|A/Tadorna_tadorna/Belgium/1260_0003/2022|A_/_H4N6;EPI_ISL_14389203;A/Tadorna_tadorna/Belgium/1260_0003/2022;A / H4N6;Europe / Belgium / Provincie West-Vlaanderen / Watou;;;Tadorna tadorna;2022-01-22;;;
>EPI_ISL_14393464|A/Arenaria_interpres/Belgium/3125_0002/2022|A_/_H10N4;EPI_ISL_14393464;A/Arenaria_interpres/Belgium/3125_0002/2022;A / H10N4;Europe / Belgium / Provincie West-Vlaanderen / Raversijde;;;Ruddy turnstone;2022-03-04;;;
>EPI_ISL_146329|A/duck/Jiangxi/16285/2010|A_/_H7N3;EPI_ISL_146329;A/duck/Jiangxi/16285/2010;A / H7N3;Asia / China;;;Duck;2010;;;
>EPI_ISL_146359|A/northern_shoveler/Hong_Kong/MPL961/2011|A_/_H2N9;EPI_ISL_146359;A/northern_shoveler/Hong_Kong/MPL961/2011;A / H2N9;Asia / China;;;Anas clypeata;2011;;;
>EPI_ISL_146361|A/northern_shoveler/Hong_Kong/MPL133/2010|A_/_H2N9;EPI_ISL_146361;A/northern_shoveler/Hong_Kong/MPL133/2010;A / H2N9;Asia / China;;;Anas clypeata;2010;;;
>EPI_ISL_146397|A/duck/Jiangxi/16309/2010|A_/_H7N7;EPI_ISL_146397;A/duck/Jiangxi/16309/2010;A / H7N7;Asia / China;;;Duck;2010;;;
>EPI_ISL_146398|A/duck/Jiangxi/16326/2010|A_/_H7N7;EPI_ISL_146398;A/duck/Jiangxi/16326/2010;A / H7N7;Asia / China;;;Duck;2010;;;
>EPI_ISL_146399|A/duck/Jiangxi/16736/2010|A_/_H7N3;EPI_ISL_146399;A/duck/Jiangxi/16736/2010;A / H7N3;Asia / China;;;Duck;2010;;;
>EPI_ISL_146400|A/duck/Jiangxi/16769/2010|A_/_H7N7;EPI_ISL_146400;A/duck/Jiangxi/16769/2010;A / H7N7;Asia / China;;;Duck;2010;;;
>EPI_ISL_146401|A/duck/Jiangxi/21980/2010|A_/_H7N7;EPI_ISL_146401;A/duck/Jiangxi/21980/2010;A / H7N7;Asia / China;;;Duck;2010;;;
>EPI_ISL_146472|A/turkey/Germany-NI/R534/2013|A_/_H7N7;EPI_ISL_146472;A/turkey/Germany-NI/R534/2013;A / H7N7;Europe / Germany / Lower Saxony;;;Turkey;2013-04-11;;;
>EPI_ISL_148203|A/great_black-backed_gull/Iceland/1110/2011|A_/_H5N2;EPI_ISL_148203;A/great_black-backed_gull/Iceland/1110/2011;A / H5N2;Europe / Iceland;;;Larus marinus;2011-10-16;;;
>EPI_ISL_148218|A/greylag_goose/Iceland/1459/2011|A_/_H6N5;EPI_ISL_148218;A/greylag_goose/Iceland/1459/2011;A / H6N5;Europe / Iceland;;;Anser anser;2011-11-01;;;
>EPI_ISL_148225|A/greylag_goose/Iceland/0948/2011|A_/_H6N5;EPI_ISL_148225;A/greylag_goose/Iceland/0948/2011;A / H6N5;Europe / Iceland;;;Anser anser;2011-11-01;;;
>EPI_ISL_148226|A/greylag_goose/Iceland/0953/2011|A_/_H6N5;EPI_ISL_148226;A/greylag_goose/Iceland/0953/2011;A / H6N5;Europe / Iceland;;;Anser anser;2011-11-01;;;
>EPI_ISL_14854178|A/garganey/Chany_Lake/210/2014|A_/_H14N9;EPI_ISL_14854178;A/garganey/Chany_Lake/210/2014;A / H14N9;Europe / Russian Federation / Novosibirsk Oblast;;;Anas querquedula;2014-08-24;;;
>EPI_ISL_149858|A/common_goldeneye/Mongolia/1271/2010|A_/_H7N1;EPI_ISL_149858;A/common_goldeneye/Mongolia/1271/2010;A / H7N1;Asia / Mongolia;;;Bucephala clangula;2010-07-24;;;
