SeqID,Isolate_Id,Isolate_Name,subtype,Location,lat,lon,Host,Collection_Date
>EPI_ISL_18011232|A/white-tailed_eagle/Finland/7800_23VIR6803-10/2023|A_/_H5N1,EPI_ISL_18011232,A/white-tailed_eagle/Finland/7800_23VIR6803-10/2023,A / H5N1,Europe / Finland,,,Avian,2023-06-28
>EPI_ISL_18271511|A/mute_swan/Denmark/06134-1.02/2023-07-27|A_/_H5N1,EPI_ISL_18271511,A/mute_swan/Denmark/06134-1.02/2023-07-27,A / H5N1,Europe / Denmark / Region Sjaland / Vordingborg Kommune,,,Cygnus olor,2023-07-27
>EPI_ISL_18271512|A/mute_swan/Denmark/06339-1.01/2023-08-05|A_/_H5N1,EPI_ISL_18271512,A/mute_swan/Denmark/06339-1.01/2023-08-05,A / H5N1,Europe / Denmark / Region Sjaland / Naestved Kommune,,,Animal,2023-08-05
>EPI_ISL_18321753|A/white_tailed_eagle/Finland/8154_23VIR7026-22/2023|A_/_H5N1,EPI_ISL_18321753,A/white_tailed_eagle/Finland/8154_23VIR7026-22/2023,A / H5N1,Europe / Finland,,,Eagle,2023-07-18
>EPI_ISL_18321755|A/black-headed_gull/Finland/8107_23VIR7026-7/2023|A_/_H5N1,EPI_ISL_18321755,A/black-headed_gull/Finland/8107_23VIR7026-7/2023,A / H5N1,Europe / Finland,,,Gull,2023-07-20
>EPI_ISL_18506029|A/Chicken/Netherlands/23023940-001005/2023|A_/_H5N1,EPI_ISL_18506029,A/Chicken/Netherlands/23023940-001005/2023,A / H5N1,Europe / Netherlands / Provincie Utrecht,,,Gallus gallus,2023-11-11
>EPI_ISL_18506030|A/Eurasian_Wigeon/Netherlands/23023284-002/2023|A_/_H5N1,EPI_ISL_18506030,A/Eurasian_Wigeon/Netherlands/23023284-002/2023,A / H5N1,Europe / Netherlands / Provincie Utrecht,,,Mareca penelope,2023-11-05
>EPI_ISL_18506031|A/Common_Buzzard/Netherlands/23023642-002/2023|A_/_H5N1,EPI_ISL_18506031,A/Common_Buzzard/Netherlands/23023642-002/2023,A / H5N1,Europe / Netherlands / Provincie Friesland,,,Buteo buteo,2023-11-05
>EPI_ISL_18506032|A/Barnacle_Goose/Netherlands/23023644-001/2023|A_/_H5N1,EPI_ISL_18506032,A/Barnacle_Goose/Netherlands/23023644-001/2023,A / H5N1,Europe / Netherlands / Provincie Friesland,,,Branta leucopsis,2023-11-07
>EPI_ISL_18514132|A/barnacle_goose/Sweden/SVA231107SZ0383/FB004550/H-2023|A_/_H5N1,EPI_ISL_18514132,A/barnacle_goose/Sweden/SVA231107SZ0383/FB004550/H-2023,A / H5N1,Europe / Sweden / Kalmar Lan / Torsas Kommun,,,Branta leucopsis,2023-11-14
>EPI_ISL_18514134|A/whooper_swan/Sweden/SVA231107SZ0379/FB004549/E-2023|A_/_H5N1,EPI_ISL_18514134,A/whooper_swan/Sweden/SVA231107SZ0379/FB004549/E-2023,A / H5N1,Europe / Sweden / Ostergotlands Lan / Vadstena Kommun,,,Whooper swan,2023-11-02
>EPI_ISL_18514137|A/Greylag_goose_/Sweden/SVA231101SZ0522/FB0045269/AB-2023|A_/_H5N1,EPI_ISL_18514137,A/Greylag_goose_/Sweden/SVA231101SZ0522/FB0045269/AB-2023,A / H5N1,Europe / Sweden / Stockholms Lan / Sígtuna Kommun,,,Greylag goose,2023-10-30
>EPI_ISL_18526630|A/herring_gull/Germany-NI/2023AI08764/2023|A_/_H5N1,EPI_ISL_18526630,A/herring_gull/Germany-NI/2023AI08764/2023,A / H5N1,Europe / Germany,,,Avian,2023-11-03
>EPI_ISL_18530057|A/chicken/Denmark/07430-3/2023-09-26|A_/_H5N1,EPI_ISL_18530057,A/chicken/Denmark/07430-3/2023-09-26,A / H5N1,Europe / Denmark / Region Sjaland / Guldborgsund,,,Chicken,2023-09-26
>EPI_ISL_18530058|A/Eurasian_teal/Denmark/08501-7/2023-11-07|A_/_H5N1,EPI_ISL_18530058,A/Eurasian_teal/Denmark/08501-7/2023-11-07,A / H5N1,Europe / Denmark / Region Syddanmark,,,Common teal,2023-11-07
>EPI_ISL_18530147|A/chicken/Denmark/8567-2/2023-11-11|A_/_H5N1,EPI_ISL_18530147,A/chicken/Denmark/8567-2/2023-11-11,A / H5N1,Europe / Denmark / Region Syddanmark / Varde Kommune,,,Chicken,2023-11-11
